gen,min,avg,max,std
0,8531512.87420682,21503165.61596188,35892111.61431746,4814463.701678481
1,8431172.514205288,17020929.234052178,27067721.614311025,3886285.027485292
2,6077674.577537325,14314943.219723713,22204406.63761748,3296140.5269659334
3,5670247.945886705,12067710.211174,19727811.614306472,3163359.098686656
4,4328124.577476877,10070163.172250584,16639014.577610265,2767428.0943531026
5,3964894.577526122,8256171.77843871,13399394.577550072,1973874.1011091254
6,3597844.5775279882,7061140.446157152,12906703.412548786,1921610.8810729175
7,2482834.577535456,5657551.211886339,9991844.577544449,1572080.766955384
8,1859563.412525515,4793035.003725725,7887055.122559591,1287683.6482391756
9,1473374.5774731024,4181021.713075176,7831524.577513143,1192421.631044862
10,779664.5775086306,3651146.4550332995,6610774.577543502,1251445.9109582396
11,779664.5775086306,3261780.372030564,7021014.577565529,1242616.7955189107
12,779664.5775086306,2835203.4002603292,5542044.577568645,1120772.6649075581
13,683963.4125287903,2545216.471427083,5592504.3341751825,1172350.4675886242
14,434284.57749849657,2067584.6531102697,5229224.5775318295,1089862.8418704122
15,398997.94583473663,1869099.3419713157,5932714.577566672,1020471.8238379357
16,269553.1258059199,1819264.5214376939,5827704.5775336465,1169109.089237509
17,200614.57745358045,1579485.7933321309,4610424.577517875,919933.5818242538
18,97164.57749617017,1377951.8746806053,4863294.577533178,996093.7220612513
19,97164.57749617017,1189015.4011274187,4068474.577510053,750650.5024714891
20,97164.57749617017,929064.3602907105,4431554.577511447,702583.9921694108
21,85034.57747166317,952894.94668923,3112274.5775057124,759214.7887451889
22,85034.57747166317,880813.0669727555,3456009.3042107937,791327.5922499686
23,85034.57746794203,797465.9471551104,3724421.947509308,749908.0621291203
24,85034.57745230233,839252.8835572363,3425674.577500898,757434.8918952158
25,85034.57745230233,777846.1261043109,3515984.5774998413,796078.9010038914
26,85034.57745230233,686867.9336671915,2715444.5775050484,649679.1832071934
27,71664.57749187996,629519.6825642425,2816774.577508738,676400.0266061244
28,58154.57749002886,619713.8192283651,2513903.412493543,613115.0630802742
29,42744.57747141931,572966.6425293663,3134834.5774991806,628111.515976405
30,42744.57746115197,621715.2774777567,4393264.577519296,820719.8320811801
31,42744.57746115197,696637.4774773302,3199714.5774991848,776354.8748362699
32,17324.577467879502,909445.4241273744,3635644.577508722,942072.0601633579
33,17324.577467879502,617471.4271073135,3188503.035822414,735080.1709947372
34,13674.57746983147,574618.253235858,3018604.5774970944,660033.435200225
35,13674.57746983147,521131.2047731887,2504104.5774810403,640399.020127323
36,13674.577459576403,493949.1939554948,3274924.5774749317,680350.8215563672
37,164.5774313706115,406753.33535479783,2942904.5775306243,536645.0190656849
38,164.57743014938086,489385.91931660316,2700412.719150444,696544.3873895671
39,164.57740860243283,524040.47523199284,3107234.5774812363,753053.385955714
40,164.57740860243283,629954.8103455757,2678804.5774686392,766021.8728602469
41,164.57740860243283,564727.9569784452,3005824.5774931703,759559.6568413704
42,164.57740860243283,533880.3571411917,3184134.577506161,712290.8707907257
43,164.57740860243283,569634.1149206569,2988894.577477215,837248.8376376042
44,164.57740860243283,577451.9652177328,3709724.577504734,911812.6607563996
45,164.57740538265327,524602.1490264519,3594244.5774639994,805579.2413290731
46,164.57740538265327,472765.92447744205,2874414.5774414055,731834.9423483459
47,164.57739520608342,530924.6091082382,3205532.7190988483,829448.169954027
48,141.94740013184602,599346.4159764849,3455592.7191095776,912460.6050704251
49,141.94740013184602,535178.5470625435,2900235.10248453,698858.4500263755
50,141.94740013184602,456863.26508063934,2544314.577449764,632941.2278156946
51,141.94740013184602,538093.3205956462,3152674.5774786673,809921.9826400743
52,141.94740013184602,502216.69741219113,3027594.577511735,814752.0776994936
53,141.94739345266868,599629.344763784,3093954.577491315,788070.1339415363
54,141.94739345266868,590747.0674962974,3993904.577462699,856447.5921326688
55,141.94739345266868,512578.1261035148,2910544.5774527127,806688.3096406781
56,141.94739345266868,493894.9576849614,2628063.1257377197,698571.2888602627
57,141.94738931946853,480941.5103665662,3907621.9474597634,743039.131858045
58,141.947386818018,438487.59644926025,2628091.9474318908,648673.3979147958
59,141.94738023439433,622199.046364828,2956381.947451234,834468.714701719
60,141.9473772153865,567405.7026988172,2801191.9474578938,784187.7626228455
61,123.45072918882578,459710.527379058,2544291.947415089,621230.4840875064
62,123.45072918882578,470123.78704703395,2603383.4507408836,737966.8810995815
63,123.45072099541052,553505.2594799416,2629184.577442402,820415.9322576113
64,123.45072099541052,625290.0234297599,2934421.947476192,859849.4829804995
65,123.4507158497922,406695.4812266705,2905023.4507360077,665700.5703059715
66,123.4507062382633,482543.39194051555,2544291.9474447756,729556.4384835265
67,123.4507062382633,321433.6830177284,2274963.4507855554,566813.470217154
68,123.4507062382633,356245.3860338819,2339323.4507687087,590353.5196890128
69,123.4507062382633,436431.1227099895,3188221.947409882,668284.9577429285
70,123.4507062382633,404831.77673097135,2732183.450770653,615112.1110782503
71,123.4507062382633,467598.03313733375,3206873.4507942065,722761.1617952118
72,123.4507062382633,538456.0292394442,2934352.6724670175,794698.0791299077
73,123.45069951366145,497286.899250428,3042953.4507499095,795187.8347086322
74,123.45069951366145,449689.2203407786,2838613.450723498,666538.643403764
75,123.45069951366145,466825.39688730246,2861963.125744465,691341.9879401632
76,123.45069951366145,458665.28837162274,2692874.5774562163,695121.4797009568
77,123.45069951366145,557082.3486073093,2905041.9473902606,785994.5443735857
78,123.45069951366145,581561.7573126982,2933193.1257994655,835596.6040072659
79,123.45069951366145,408334.0130936572,2485963.1258242074,611679.7212849555
80,123.45069951366145,405982.0680809019,2905023.450744196,668485.9204721184
81,123.45069951366145,462548.87599582894,4130132.514130988,764926.1243312671
82,123.45069951366145,549322.9190487633,3635091.9474363644,799648.0912277338
83,123.45069951366145,349869.0143148369,2302373.450738392,573511.0619703338
